2023/11/21 14:31:07 [warn] 1#1: the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
nginx: [warn] the "user" directive makes sense only if the master process runs with super-user privileges, ignored in /etc/nginx/nginx.conf:2
2023/11/21 14:31:07 [notice] 1#1: using the "epoll" event method
2023/11/21 14:31:07 [notice] 1#1: nginx/1.25.2
2023/11/21 14:31:07 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r10) 
2023/11/21 14:31:07 [notice] 1#1: OS: Linux 6.2.0-1015-aws
2023/11/21 14:31:07 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/11/21 14:31:07 [notice] 1#1: start worker processes
***HIDDEN*** - - [21/Nov/2023:16:02:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:03:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:03:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:04:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:04:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:05:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:05:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:06:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:06:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:07:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:07:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:08:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:08:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:09:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:09:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:10:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:10:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:11:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:11:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:12:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:12:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:13:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:13:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:14:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
***HIDDEN*** - - [21/Nov/2023:16:14:06 +0000] "GET /healthz HTTP/1.1" 200 0 "-" "kube-probe/1.25" "-"
